,name,team,battingStyle,bowlingStyle,playingRole
107,Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter
108,Evin Lewis,West Indies,Left hand Bat,,Opening Batter
109,Brandon King,West Indies,Right hand Bat,,Top order Batter
110,Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
111,Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
112,Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
113,Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler
114,Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler
115,Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler
116,Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
117,Mohammad Rizwan,Pakistan,Right hand Bat,,Wicketkeeper Batter
118,Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Batter
119,Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter
120,Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
121,Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder
122,Haider Ali,Pakistan,Right hand Bat,,Middle order Batter
123,Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
124,Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
125,Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler
126,Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler
127,KL Rahul,India,Right hand Bat,,Opening Batter
128,Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter
129,Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
130,Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
131,Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
132,Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
133,Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
134,Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
135,Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler
136,Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler
137,Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler
138,Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler
139,Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
140,Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter
141,Litton Das,Bangladesh,Right hand Bat,,Wicketkeeper Batter
142,Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
143,Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder
144,Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
145,Nurul Hasan,Bangladesh,Right hand Bat,,Wicketkeeper Batter
146,Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
147,Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler
148,Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler
149,Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
150,Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
151,Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
152,Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
153,George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
154,Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
155,Matthew Cross,Scotland,Right hand Bat,,Wicketkeeper Batter
156,Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
157,Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
158,Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
159,Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler
160,Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter
161,Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
162,Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler
163,Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler
164,Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler
165,Quinton de Kock,South Africa,Left hand Bat,,Wicketkeeper Batter
166,Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter
